Table 3 
Planet Catalog


CPS Name	Lit. Name	$M\sin i$ (M _J)	a (au)	e	References	
HD 97101c	HD 97101c	${0.0322}_{-0.0038}^{+0.0043}$	${0.2403}_{-0.0017}^{+0.0017}$	${0.28}_{-0.13}^{+0.13}$	Dedrick et al. submitted	
HD 97658 b	HD 97658 b	${0.0247}_{-0.0017}^{+0.0018}$	${0.0805}_{-0.0011}^{+0.0010}$	${0.063}_{-0.044}^{+0.061}$	Howard et al. (2011)	
HD 9826 b	ups And b	${0.675}_{-0.016}^{+0.016}$	${0.05914}_{-0.00063}^{+0.00062}$	${0.0069}_{-0.0046}^{+0.0072}$	Butler et al. (1997)	
HD 9826c	ups And c	${1.965}_{-0.050}^{+0.049}$	${0.8265}_{-0.0088}^{+0.0087}$	${0.266}_{-0.012}^{+0.012}$	Butler et al. (1999)	
HD 9826 d	ups And d	${4.1}_{-0.1}^{+0.1}$	${2.518}_{-0.027}^{+0.026}$	${0.294}_{-0.012}^{+0.011}$	Butler et al. (1999)	
HD 99109 b	HD 99109 b	${0.474}_{-0.035}^{+0.035}$	${1.122}_{-0.017}^{+0.017}$	${0.06}_{-0.042}^{+0.064}$	Butler et al. (2006b)	
HD 99492 b	HD 99492 b	${0.0841}_{-0.0062}^{+0.0061}$	${0.1231}_{-0.0015}^{+0.0014}$	${0.085}_{-0.057}^{+0.070}$	Marcy et al. (2005)	
GL 317 b	GL 317 b	${1.852}_{-0.037}^{+0.037}$	${1.1799}_{-0.0076}^{+0.0076}$	${0.098}_{-0.016}^{+0.016}$	Johnson et al. (2007a)	
GL 317 c	GL 317 c	${1.673}_{-0.075}^{+0.078}$	${5.78}_{-0.38}^{+0.74}$	${0.248}_{-0.074}^{+0.110}$	Anglada-Escude et al. (2012)	
GL 687 b	GL 687 b	${0.0553}_{-0.0047}^{+0.0047}$	${0.1658}_{-0.0012}^{+0.0012}$	${0.153}_{-0.080}^{+0.077}$	Burt et al. (2014)	
HIP 109388 b	GJ 849 b	${0.891}_{-0.036}^{+0.035}$	${2.41}_{-0.017}^{+0.017}$	${0.05}_{-0.030}^{+0.029}$	Butler et al. (2006a)	
HIP 109388c	GJ 849 c	${1.079}_{-0.053}^{+0.053}$	${4.974}_{-0.074}^{+0.082}$	${0.099}_{-0.040}^{+0.041}$	Feng et al. (2015)	
HIP 22627 b	GJ 179 b	${0.752}_{-0.041}^{+0.041}$	${2.522}_{-0.033}^{+0.034}$	${0.169}_{-0.050}^{+0.048}$	Howard et al. (2010a)	
HIP 57050 b	GJ 1148 b	${0.26}_{-0.029}^{+0.030}$	${0.9302}_{-0.0086}^{+0.0088}$	${0.27}_{-0.17}^{+0.14}$	Haghighipour et al. (2010)	
HIP 57050c	GJ 1148c	${0.339}_{-0.014}^{+0.014}$	${0.1686}_{-0.0014}^{+0.0014}$	${0.366}_{-0.028}^{+0.027}$	Trifonov et al. (2018)	
HIP 74995 b	GJ 581 b	${0.051}_{-0.0019}^{+0.0020}$	${0.04099}_{-0.00044}^{+0.00043}$	${0.02}_{-0.014}^{+0.022}$	Bonfils et al. (2005)	
HIP 74995c	GJ 581 c	${0.0159}_{-0.0022}^{+0.0022}$	${0.07358}_{-0.00078}^{+0.00077}$	${0.12}_{-0.084}^{+0.120}$	Mayor et al. (2009)	
HIP 83043 b	GJ 649 b	${0.275}_{-0.021}^{+0.022}$	${1.1325}_{-0.0087}^{+0.0087}$	${0.17}_{-0.1}^{+0.1}$	Johnson et al. (2010a)	
HIP 57087 b	GJ 436 b	${0.0668}_{-0.0022}^{+0.0022}$	${0.02849}_{-0.0002}^{+0.0002}$	${0.145}_{-0.027}^{+0.027}$	Butler et al. (2004)	
BD-103166 b	BD-103166 b	${0.449}_{-0.017}^{+0.017}$	${0.04501}_{-0.00066}^{+0.00064}$	${0.022}_{-0.015}^{+0.024}$	Butler et al. (2000)	
HD 175541 b	HD 175541 b	${0.577}_{-0.047}^{+0.049}$	${0.99}_{-0.032}^{+0.030}$	${0.057}_{-0.039}^{+0.053}$	Johnson et al. (2007b)	
HD 37124 b	HD 37124 b	${0.65}_{-0.016}^{+0.016}$	${0.5253}_{-0.0032}^{+0.0032}$	${0.05}_{-0.022}^{+0.019}$	Butler et al. (2003)	
HD 37124c	HD 37124c	${0.647}_{-0.09}^{+0.08}$	${1.687}_{-0.011}^{+0.011}$	${0.126}_{-0.045}^{+0.047}$	Butler et al. (2003)	
HD 37124 d	HD 37124 d	${0.659}_{-0.036}^{+0.034}$	${2.67}_{-0.021}^{+0.022}$	${0.16}_{-0.11}^{+0.12}$	Vogt et al. (2005)	
GL 876 b	GL 876 b	${2.108}_{-0.036}^{+0.036}$	${0.2177}_{-0.0018}^{+0.0018}$	${0.0019}_{-0.0013}^{+0.0022}$	Marcy et al. (1998)	
GL 876 c	GL 876 c	${0.698}_{-0.013}^{+0.013}$	${0.1363}_{-0.0011}^{+0.0011}$	${0.0055}_{-0.0040}^{+0.0064}$	Marcy et al. (2001)	
GL 876 d	GL 876 d	${0.0184}_{-0.0015}^{+0.0016}$	${0.02183}_{-0.00019}^{+0.00018}$	${0.273}_{-0.098}^{+0.093}$	Rivera et al. (2005)	
HD 83443 b	HD 83443 b	${0.409}_{-0.019}^{+0.019}$	${0.04067}_{-0.00062}^{+0.00060}$	${0.074}_{-0.032}^{+0.031}$	Butler et al. (2002)	
HD 183263 b	HD 183263 b	${3.705}_{-0.10}^{+0.098}$	${1.508}_{-0.02}^{+0.02}$	${0.3786}_{-0.004}^{+0.004}$	Marcy et al. (2005)	
HD 183263c	HD 183263c	${7.97}_{-0.22}^{+0.22}$	${6.038}_{-0.085}^{+0.082}$	${0.0595}_{-0.0063}^{+0.0064}$	Wright et al. (2009)	
